metric_date,open,high,low,close,volume,market_cap
2014-07-30,584.74,585.12,564.9,567.29,14898800.0,7420859009.27
2014-07-31,567.37,586.23,564.51,586.23,22467900.0,7670841007.38
2014-08-01,586.2,597.92,583.63,594.92,18215900.0,7786796032.4
2014-08-02,594.9,594.91,586.16,589.33,8359080.0,7716181168.97
2014-08-03,588.89,589.15,581.65,586.67,9917990.0,7683520602.05
2014-08-04,586.23,591.95,583.74,588.78,9867570.0,7713117797.75
2014-08-05,589.01,589.86,584.1,585.44,10790800.0,7671275261.9
2014-08-06,585.95,587.49,583.1,584.65,14497900.0,7663383046.48
2014-08-07,584.65,591.1,584.05,588.87,11131400.0,7721014780.4
2014-08-08,588.88,598.12,588.79,592.58,11072000.0,7771958457.93
2014-08-09,592.47,592.47,587.63,589.37,7922070.0,7732619577.2
2014-08-10,589.17,594.46,587.94,591.06,7555310.0,7757394871.03
2014-08-11,591.28,591.51,574.05,576.37,14764200.0,7567178699.6
2014-08-12,576.51,576.95,566.59,569.64,13978200.0,7481336242.8
2014-08-13,570.38,573.03,532.67,546.66,25777500.0,7181459812.45
2014-08-14,546.18,546.24,498.73,505.97,35803900.0,6649282619.7
2014-08-15,511.14,518.18,487.93,497.01,25598300.0,6533519506.5
2014-08-16,497.83,521.47,487.74,519.71,22832500.0,6833965309.5
2014-08-17,519.14,520.19,483.63,491.8,24300900.0,6468997660.75
2014-08-18,491.51,499.37,443.85,461.46,50783800.0,6072259848.0
2014-08-19,461.48,485.71,455.54,485.24,38422400.0,6387510426.38
2014-08-20,485.07,518.28,467.51,511.98,46527600.0,6741573447.0
2014-08-21,510.45,531.9,510.45,517.24,49444200.0,6812929385.67
2014-08-22,517.58,521.48,501.27,514.04,36563900.0,6772889206.18
2014-08-23,513.39,514.3,492.11,498.08,25171900.0,6564528885.0
2014-08-24,498.29,512.89,497.35,508.29,19441700.0,6700963066.7
2014-08-25,508.22,508.22,499.23,502.5,18356700.0,6626339377.6
2014-08-26,502.54,512.69,502.54,511.57,23235100.0,6748171027.0
2014-08-27,512.19,520.71,510.92,511.15,22648500.0,6744868296.2
2014-08-28,510.88,516.16,506.88,507.82,19862000.0,6703031046.25
2014-08-29,508.42,511.7,503.82,508.52,17624800.0,6714458468.0
2014-08-30,508.59,509.31,501.64,504.25,9424070.0,6660385522.73
2014-08-31,502.9,504.88,474.81,477.76,44632300.0,6312801959.75
2014-09-01,477.79,485.31,471.91,474.88,20432000.0,6276309535.35
2014-09-02,474.48,482.99,472.32,477.43,23337900.0,6311703012.15
2014-09-03,476.87,481.71,476.21,477.59,13342200.0,6315859936.3
2014-09-04,477.68,493.93,477.09,489.66,26081400.0,6477467310.0
2014-09-05,489.67,490.64,481.61,483.34,15302500.0,6395641761.75
2014-09-06,483.34,488.6,483.0,484.83,10601400.0,6417500778.0
2014-09-07,485.13,488.07,482.28,482.28,8994050.0,6385589802.05
2014-09-08,481.81,489.83,468.79,474.6,30238000.0,6285637995.0
2014-09-09,474.88,477.38,467.78,475.26,21447800.0,6296101902.0
2014-09-10,475.48,487.47,475.14,479.36,22787800.0,6352285708.38
2014-09-11,479.62,482.35,474.61,479.75,16852900.0,6359504769.1
2014-09-12,479.58,479.63,473.01,477.75,15437200.0,6334873397.93
2014-09-13,477.79,482.12,475.1,479.0,15588000.0,6353614253.55
2014-09-14,479.12,479.85,476.12,477.89,13105500.0,6340778581.7
2014-09-15,477.77,478.62,474.02,475.37,15345200.0,6309195217.65
2014-09-16,474.86,475.64,465.13,466.06,16797300.0,6187570806.23
2014-09-17,465.86,468.17,452.42,457.33,21056800.0,6073910020.75
2014-09-18,456.86,456.86,413.1,424.44,34483200.0,5638918842.0
2014-09-19,424.1,427.83,384.53,394.8,37919700.0,5246779620.6
2014-09-20,394.67,423.3,389.88,408.9,36863600.0,5436072002.0
2014-09-21,408.08,412.43,393.18,398.82,26580100.0,5303651274.83
2014-09-22,399.1,406.92,397.13,402.15,24127600.0,5349637033.8
2014-09-23,402.09,441.56,396.2,435.79,45099500.0,5798754888.52
2014-09-24,435.75,436.11,421.13,423.2,30627700.0,5632911450.62
2014-09-25,423.16,423.52,409.47,411.57,26814400.0,5479902023.0
2014-09-26,411.43,414.94,400.01,404.42,21460800.0,5386071486.25
2014-09-27,403.56,406.62,397.37,399.52,15029300.0,5322075836.0
2014-09-28,399.47,401.02,374.33,377.18,23613300.0,5025729375.45
2014-09-29,376.93,385.21,372.24,375.47,32497700.0,5004177242.62
2014-09-30,376.09,390.98,373.44,386.94,34707300.0,5158621324.8
2014-10-01,387.43,391.38,380.78,383.61,26229400.0,5115688242.12
2014-10-02,383.99,385.5,372.95,375.07,21777700.0,5003085408.0
2014-10-03,375.18,377.7,357.86,359.51,30901200.0,4796851774.6
2014-10-04,359.89,364.49,325.89,328.87,47236500.0,4389218290.65
2014-10-05,328.92,341.8,289.3,320.51,83308096.0,4279040869.75
2014-10-06,320.39,345.13,302.56,330.08,79011800.0,4408130777.23
2014-10-07,330.58,339.25,320.48,336.19,49199900.0,4490819564.7
2014-10-08,336.12,354.36,327.19,352.94,54736300.0,4715887221.5
2014-10-09,352.75,382.73,347.69,365.03,83641104.0,4878718500.4
2014-10-10,364.69,375.07,352.96,361.56,43665700.0,4833830846.6
2014-10-11,361.36,367.19,355.95,362.3,13345200.0,4844961124.67
2014-10-12,362.61,379.43,356.14,378.55,17552800.0,5063689089.67
2014-10-13,377.92,397.23,368.9,390.41,35221400.0,5223924766.65
2014-10-14,391.69,411.7,391.32,400.87,38491500.0,5365153884.25
2014-10-15,400.95,402.23,388.77,394.77,25267100.0,5285043276.15
2014-10-16,394.52,398.81,373.07,382.56,26990000.0,5122903035.0
2014-10-17,382.76,385.48,375.39,383.76,13600700.0,5140342470.5
2014-10-18,383.98,395.16,378.97,391.44,11416800.0,5244892213.8
2014-10-19,391.25,393.94,386.46,389.55,5914570.0,5220783139.85
2014-10-20,389.23,390.08,378.25,382.85,16419000.0,5132276503.12
2014-10-21,382.42,392.65,380.83,386.48,14188900.0,5182426850.62
2014-10-22,386.12,388.58,382.25,383.16,11641300.0,5139461096.15
2014-10-23,382.96,385.05,356.45,358.42,26456900.0,4808952572.4
2014-10-24,358.59,364.35,353.3,358.35,15585700.0,4809419914.0
2014-10-25,358.61,359.86,342.88,347.27,18127500.0,4662139220.32
2014-10-26,347.49,359.22,343.93,354.7,11272500.0,4763036252.8
2014-10-27,354.78,358.63,349.81,352.99,13033000.0,4741410021.07
2014-10-28,353.21,359.98,352.68,357.62,7845880.0,4804812400.8
2014-10-29,357.09,357.83,335.34,335.59,18192700.0,4510175244.5
2014-10-30,335.71,350.91,335.07,345.3,30177900.0,4642194093.75
2014-10-31,345.01,348.05,337.14,338.32,12545400.0,4549893052.45
2014-11-01,338.65,340.53,321.05,325.75,16677200.0,4382113991.33
2014-11-02,326.08,329.05,320.63,325.89,8603620.0,4385292372.3
2014-11-03,325.57,334.0,325.48,327.55,12948500.0,4409040617.0
2014-11-04,327.16,331.77,325.08,330.49,15655500.0,4449934320.9
2014-11-05,330.68,343.37,330.68,339.49,19817200.0,4572205935.15
2014-11-06,339.46,352.97,338.42,349.29,18797000.0,4705591218.75
2014-11-07,349.82,352.73,341.78,342.42,16834200.0,4614264694.75
2014-11-08,342.15,347.03,342.15,345.49,8535470.0,4656988221.6
2014-11-09,345.38,363.63,344.26,363.26,24205600.0,4897961164.8
2014-11-10,362.27,374.82,357.56,366.92,30450100.0,4948658122.5
2014-11-11,365.86,371.31,363.73,367.7,15838900.0,4960242319.5
2014-11-12,367.98,429.72,367.98,423.56,45783200.0,5715426243.75
2014-11-13,427.27,457.09,401.12,420.73,58945000.0,5678828589.0
2014-11-14,418.42,419.25,384.79,397.82,29589200.0,5371040272.5
2014-11-15,399.65,405.53,371.01,376.13,15727500.0,5079582131.75
2014-11-16,374.73,390.8,374.6,387.88,11905600.0,5239694299.95
2014-11-17,388.35,410.2,377.5,387.41,41518800.0,5234695636.8
2014-11-18,387.79,392.4,371.12,375.2,32222500.0,5071157408.1
2014-11-19,373.9,386.48,373.9,380.55,18931800.0,5144903808.62
2014-11-20,380.31,382.02,356.78,357.84,25233200.0,4839043482.0
2014-11-21,357.88,357.88,344.11,350.85,29850100.0,4745605132.8
2014-11-22,351.6,364.84,350.88,352.92,15273000.0,4774989954.0
2014-11-23,353.17,370.85,353.17,367.57,15151600.0,4974540006.18
2014-11-24,366.95,387.21,366.67,376.9,30930100.0,5102174794.68
2014-11-25,376.89,394.7,374.78,375.35,25442200.0,5082390210.3
2014-11-26,376.02,377.7,365.82,368.37,18601700.0,4989166443.0
2014-11-27,370.5,373.99,368.28,369.67,8748030.0,5008058116.25
2014-11-28,369.37,382.84,358.45,376.45,22946500.0,5101280352.88
2014-11-29,376.15,387.6,372.14,375.49,15375600.0,5089799279.55
2014-11-30,375.51,382.53,373.31,378.05,9194440.0,5125958175.35
2014-12-01,378.25,383.66,376.67,379.24,11763000.0,5143434463.5
2014-12-02,379.25,384.04,377.86,381.32,12364100.0,5172928822.88
2014-12-03,381.72,383.03,374.35,375.01,13340100.0,5088491939.5
2014-12-04,375.72,378.65,367.76,369.6,14529600.0,5016487250.4
2014-12-05,369.44,379.19,365.76,376.85,15181800.0,5116358331.0
2014-12-06,376.76,378.45,370.95,374.79,7009320.0,5089542821.5
2014-12-07,374.84,376.29,373.27,375.1,6491650.0,5094943517.12
2014-12-08,374.96,376.03,361.89,361.91,18898700.0,4917302821.62
2014-12-09,361.89,363.07,344.95,352.22,32915500.0,4786893957.82
2014-12-10,352.2,352.38,346.36,346.36,16427700.0,4708572401.25
2014-12-11,344.34,361.36,338.76,350.51,32431300.0,4766084198.85
2014-12-12,350.83,352.98,349.29,352.54,16989800.0,4795055945.25
2014-12-13,352.38,352.38,346.59,347.38,11675900.0,4726102586.4
2014-12-14,346.73,353.32,345.42,351.63,12415200.0,4785245607.6
